시도,시군구,시설명,영문명,설치년월일,설치연도,시대구분,시설장,종사자수,정원,현원,빈자리,충원율,종사자당아동,소재지,연락처,위도,경도,데이터비고
서울특별시,서울 강동구,둥근나라,Dounggunnara,2005.07.,2005,전문화기 (2005~2015),이진선,4,6,6,0,100,1.5,"서울특별시 강동구 아리수로76길 36, 201호",02-900-9860,,,
서울특별시,서울 강동구,푸른우리집,Ebluehouse,2000.09.01,2000,제도화기 (2000~2004),박경자,4,7,6,1,86,1.5,서울특별시 강동구 고덕로8길 33 201호,02-985-6960,,,
서울특별시,서울 강북구,도밍고의집,DOMINIC'S HOSUE children group homes,2017.07.21,2017,확장·내실기 (2016~),김소명,4,7,5,2,71,1.25,서울특별시 강북구 인수봉로79길 104,02-982-9196,,,
서울특별시,서울 강북구,베리타스,Veritaschildren group homes,2020.12.30,2020,확장·내실기 (2016~),조성하,4,7,5,2,71,1.25,서울특별시 강북구 인수봉로75길 79-1,02-980-9190,,,
서울특별시,서울 강북구,예닮의집,YW DAM,2021.09.01,2021,확장·내실기 (2016~),장영숙,4,7,6,1,86,1.5,서울특별시 강북구 화계사길 5-15,02-986-6766,,,
서울특별시,서울 강서구,마드레나자레나의 집,MadreNazarena House,2003.04.15,2003,제도화기 (2000~2004),원부순,4,7,4,3,57,1.0,서울특별시 강서구 강서로26길 51-8,02-2657-7792,,,
서울특별시,서울 강서구,살레시오방화동 나눔의집,SalesioBanghwa-dong NanumHouse,1997.05.10,1997,태동기 (~1999),도연선,4,7,4,3,57,1.0,서울특별시 강서구 방화대로45길 56-4,02-2665-1019,,,
서울특별시,서울 강서구,아름다운집,Bhome,2019.04.19,2019,확장·내실기 (2016~),이현주,4,7,2,5,29,0.5,서울특별시 강서구 송정로 14-12 1층 101호,02-3663-2213,,,
서울특별시,서울 강서구,효주아녜스의 집,Hyoju Agnes House,2018.05.02,2018,확장·내실기 (2016~),이경미,2,7,5,2,71,2.5,서울특별시 강서구 까치산로4가길 36,02-2604-5781,,,
서울특별시,서울 강서구,하늘품,Skyhome,2017.11.01,2017,확장·내실기 (2016~),김현애,4,7,5,2,71,1.25,서울특별시 강서구 양천로489 103동 101호,02-6368-4970,,,
서울특별시,서울 강서구,윤슬,YOONSEUL,2023.06.13,2023,확장·내실기 (2016~),이도향,4,7,4,3,57,1.0,"서울특별시 강서구 등촌로5길 18-22, 101호",02-6369-9736,,,
서울특별시,서울 관악구,늘푸른청소년 미래,Evergreenyouth future,2012.08.09,2012,전문화기 (2005~2015),기영희,4,7,4,3,57,1.0,서울특별시 관악구 호암로 417 국제신장아파트 104동 604호,02-887-1070,,,
서울특별시,서울 관악구,민들레쉼터,Mindulle,1999.05.13,1999,태동기 (~1999),김춘미,4,7,5,2,71,1.25,"서울특별시 관악구 문성로38길 37-7, 201호",02-873-8868,,,
서울특별시,서울 관악구,대한성공회 행복한 우리집,SWEETHOME,1995.05.06,1995,태동기 (~1999),나인채,4,7,4,3,57,1.0,"서울특별시 관악구 국회단지길 67, 502호",02-877-7942,,,
서울특별시,서울 관악구,아모텍 오디가정,AMOTEC ODEE FAMILY,2008.06.27,2008,전문화기 (2005~2015),이미현,4,7,4,3,57,1.0,"서울특별시 관악구 봉천로17길 11, 103호",02-863-8836,,,
서울특별시,서울 관악구,아모그린텍 장미가정,Rosehome,2008.07.01,2008,전문화기 (2005~2015),유명한,5,7,5,2,71,1.0,서울특별시 관악구 남부순환로152가길 12 201호,02-864-6553,,,
서울특별시,서울 광진구,꽃가람그룹홈,Kkotgaram grouphome,2015.11.25,2015,전문화기 (2005~2015),오순,4,5,5,0,100,1.25,"서울특별시 광진구 자양로44길 141-3, 20B호",02-455-9302,,,
서울특별시,서울 광진구,사비오그룹홈,Sabio grouphome,2010.10.22,2010,전문화기 (2005~2015),백명옥,3,7,5,2,71,1.67,"서울특별시 광진구 자양로44길 149 1,2층",02-458-1317,,,
서울특별시,서울 구로구,e-좋은만남,e-Good meeting,2002.06.14,2002,제도화기 (2000~2004),김레지나,4,7,5,2,71,1.25,서울특별시 구로구 고척로27나길 28-10,02-2689-9708,,,
서울특별시,서울 구로구,행복한집,Happyplace,2008.01.18,2008,전문화기 (2005~2015),김숙희,4,7,6,1,86,1.5,"서울특별시 구로구 개봉로15길 74-2 이레팰리스 201, 202호",02-2066-8310,,,
서울특별시,서울 구로구,궁동그룹홈,Gung Dong Group Home,2018.07.01,2018,확장·내실기 (2016~),한재숙,4,7,3,4,43,0.75,"서울특별시 구로구 오리로22나길 16-24, 101동 203호, 303호",02-2625-8520,,,
서울특별시,서울 구로구,노스토스의 집,NOSTOSHOME,2018.08.17,2018,확장·내실기 (2016~),강지우,4,6,6,0,100,1.5,서울특별시 구로구 서해안로 2368 101동 803호,02-703-9638,,,
서울특별시,서울 구로구,나무야,Namuya,2023.07.05,2023,확장·내실기 (2016~),김상희,3,5,5,0,100,1.67,"서울특별시 구로구 고척로52마길 21-11, 2.3층",02-2616-6697,,,
서울특별시,서울 금천구,예원,Yewon,2013.08.03,2013,전문화기 (2005~2015),모규민,4,5,4,1,80,1.0,"서울특별시 금천구 범안로15길 7, 101-804",02-2690-0874,,,
서울특별시,서울 노원구,가온나래,GAONNARAE,2018.12.28,2018,확장·내실기 (2016~),석혜영,4,7,6,1,86,1.5,"서울특별시 노원구 동일로195길 39, 101동 1505호",02-977-6482,,,
서울특별시,서울 노원구,테바그룹홈,Tebah Group Home,2019.12.26,2019,확장·내실기 (2016~),이혜경,4,6,5,1,83,1.25,"서울특별시 노원구 동일로230길 63, 상계한신아파트 3동 806호",02-978-4510,,,
서울특별시,서울 노원구,하늬네,Honeyne,2009.05.29,2009,전문화기 (2005~2015),이경희,4,7,6,1,86,1.5,"서울특별시 노원구 한글비석로49길 20, 301호",02-930-9361,,,
서울특별시,서울 동대문구,또 하나의 집,Anotherhome,2005.03.02,2005,전문화기 (2005~2015),한정숙,4,6,5,1,83,1.25,서울특별시 동대문구 약령시로5길 22-10,02-923-8275,,,
서울특별시,서울 동작구,꿈터그룹홈,Dreamland,2015.10.30,2015,전문화기 (2005~2015),허여정,3,5,4,1,80,1.33,서울 동작구 양녕로22라길 23 401호,02-835-2924,,,
서울특별시,서울 동작구,서울나자렛집,SEOULNAZARETJIB,2017.11.09,2017,확장·내실기 (2016~),이양숙,4,7,6,1,86,1.5,"서울특별시 동작구 신대방길 85, 104동 201호(신대방동, 경남아파트)",02-2691-5960,,,
